Date,Connections_Completed,MRR_Completed,MRR_Sold,Connections_Sold,Due_Date_Tickets,Missed_Due_Date,Missed_Days,Missed_No_Notice,Missed_Within_48,Missed_Outside_48
1/11/2014,2,25,4594,22,,,,,,
1/25/2014,2,0,2615,22,,,,,,
2/1/2014,8,3718,14729,72,,,,,,
2/8/2014,5,345,2193.98,12,,,,,,
2/15/2014,10,971,5324.48,45,,,,,,
2/22/2014,26,2012,15052,66,,,,,,
3/1/2014,17,6761,17138,71,,,,,,
3/8/2014,50,8090,3863,46,,,,,,
3/15/2014,24,5131,17546,96,,,,,,
3/22/2014,22,2799.48,11251.98,47,,,,,,
3/29/2014,53,6436,12209.25,114,,,,,,
4/5/2014,41,6963,5266,63,,,,,,
4/12/2014,184,33689.98,7715,56,,,,,,
4/19/2014,58,7649,12081,62,,,,,,
4/26/2014,95,13304,16509.75,68,,,,,,
5/3/2014,59,7397,11718.08,103,,,,,,
5/10/2014,43,8702,9505,70,,,,,,
5/17/2014,74,8038.75,7051,58,,,,,,
5/24/2014,32,11852,9123.28,58,,,,,,
5/31/2014,39,5601,13014.46,110,,,,,,
6/7/2014,37,6488,7115,79,,,,,,
6/14/2014,46,4499,8660.32,82,,,,,,
6/21/2014,43,3400.25,23671,143,,,,,,
6/28/2014,94,18616.98,30870,157,,,,,,
7/5/2014,106,10042,8584.32,63,,,,,,
7/12/2014,46,4376,2370,25,,,,,,
7/19/2014,80,10978.08,4848,48,,,,,,
7/26/2014,39,2864,24853,76,,,,,,
8/2/2014,47,6392,7012.76,80,,,,,,
8/9/2014,71,8524,862,15,,,,,,
8/16/2014,74,11198.28,7367,54,,,,,,
8/23/2014,61,5900.07,7315.99,36,,,,,,
8/30/2014,70,10255,14039,130,,,,,,
9/6/2014,54,6911.36,2044.32,33,,,,,,
9/13/2014,105,9457.64,5219,40,,,,,,
9/20/2014,55,4748.81,7080.81,85,,,,,,
9/27/2014,119,26223.36,25512.45,131,,,,,,
10/4/2014,60,6285,30941.97,172,,,,,,
10/11/2014,58,4878,1625,29,,,,,,
10/18/2014,80,8569.77,7180,51,,,,,,
10/25/2014,69,7073,4877,50,,,,,,
11/1/2014,60,7127,33191,181,,,,,,
11/8/2014,70,7639.8,2952,34,,,,,,
11/15/2014,52,3609,18081,80,,,,,,
11/22/2014,84,18192,4660,39,,,,,,
11/29/2014,25,2803.09,24119,186,,,,,,
12/6/2014,112,13245,13210,82,,,,,,
12/13/2014,58,6379,4038.98,55,,,,,,
12/20/2014,78,6435.73,18880,138,,,,,,
12/27/2014,38,6085,8501,48,,,,,,
1/3/2015,45,10075,11008,51,,,,,,
1/10/2015,86,16079,1438,22,,,,,,
1/17/2015,43,10529.45,2143,22,9,5,0,5,1,4
1/24/2015,31,4230.2,5464,45,2,2,0,2,0,2
1/31/2015,50,9544,19801.78,87,3,1,-5,1,1,1
2/7/2015,35,5508,3171,22,6,6,-3.75,2,3,3
2/14/2015,30,3408,4811.78,52,11,9,-0.4,0,8,1
2/21/2015,105,22413,4135.51,31,0,0,0,0,0,0
2/28/2015,97,31115,31390.32,128,4,2,-2,0,1,1
3/7/2015,21,1759.78,5644,35,1,1,1,0,1,0
3/14/2015,40,7960,10948,60,6,2,0,2,2,0
3/21/2015,49,8696.83,6244,32,,,,,,
3/28/2015,49,4949,4630,31,,,,,,
